Timestamp,Values,Type
2024-06-28 14:09:00,58,Peak
2024-06-28 14:09:00,57,Low
2024-06-28 14:12:00,56,Low
2024-06-28 14:13:00,57,Peak
2024-06-28 14:19:00,54,Low
2024-06-28 14:19:00,55,Peak
2024-06-28 14:27:00,53,Peak
2024-06-28 14:27:00,52,Low
2024-06-28 14:38:00,50,Low
2024-06-28 14:38:00,51,Peak
2024-06-28 14:42:00,50,Peak
2024-06-28 14:42:00,49,Low
2024-06-28 14:51:00,47,Low
2024-06-28 15:42:00,78,Peak
2024-06-28 15:42:00,77,Low
2024-06-28 15:54:00,74,Low
2024-06-28 15:54:00,75,Peak
2024-06-28 16:01:00,73,Peak
2024-06-28 16:01:00,72,Low
2024-06-28 16:06:00,71,Low
2024-06-28 16:07:00,72,Peak
2024-06-28 16:16:00,69,Peak
2024-06-28 16:16:00,68,Low
2024-06-28 16:28:00,66,Peak
2024-06-28 16:28:00,65,Low
2024-06-28 16:34:00,64,Peak
2024-06-28 16:34:00,63,Low
2024-06-28 16:38:00,62,Low
2024-06-28 16:38:00,63,Peak
2024-06-28 16:51:00,60,Peak
2024-06-28 16:51:00,59,Low
2024-06-28 17:13:00,54,Peak
2024-06-28 17:13:00,53,Low
2024-06-28 17:16:00,53,Peak
2024-06-28 17:16:00,52,Low
2024-06-28 17:29:00,49,Peak
2024-06-28 17:29:00,48,Low
2024-06-28 17:34:00,48,Peak
2024-06-28 17:34:00,47,Low
2024-06-28 17:42:00,45,Low
2024-06-28 17:42:00,46,Peak
2024-06-28 17:47:00,45,Peak
2024-06-28 17:47:00,44,Low
2024-06-28 17:58:00,42,Low
2024-06-28 17:58:00,43,Peak
2024-06-28 18:15:00,40,Peak
2024-06-28 18:15:00,39,Low
2024-06-28 18:20:00,39,Peak
2024-06-28 18:20:00,38,Low
2024-06-28 18:36:00,37,Peak
2024-06-28 18:36:00,36,Low
2024-06-28 19:21:00,33,Peak
2024-06-28 19:21:00,32,Low
2024-06-28 19:28:00,32,Low
2024-06-28 20:35:00,87,Peak
2024-06-28 20:35:00,86,Low
2024-06-28 21:11:00,100,Peak
2024-06-28 22:25:00,98,Peak
2024-06-28 22:25:00,97,Low
2024-06-28 22:41:00,97,Peak
2024-06-28 22:41:00,96,Low
2024-06-28 23:38:00,91,Peak
2024-06-28 23:38:00,90,Low
2024-06-29 00:06:00,84,Low
2024-06-29 00:06:00,85,Peak
2024-06-29 00:14:00,82,Low
2024-06-29 00:14:00,83,Peak
2024-06-29 00:20:00,82,Peak
2024-06-29 00:23:00,80,Low
2024-06-29 00:34:00,78,Low
2024-06-29 00:34:00,79,Peak
2024-06-29 00:45:00,76,Low
2024-06-29 00:45:00,77,Peak
2024-06-29 00:50:00,75,Low
2024-06-29 00:50:00,76,Peak
2024-06-29 01:15:00,70,Peak
2024-06-29 01:15:00,69,Low
2024-06-29 01:45:00,65,Peak
2024-06-29 01:45:00,64,Low
2024-06-29 01:49:00,64,Peak
2024-06-29 01:49:00,63,Low
2024-06-29 01:52:00,63,Peak
2024-06-29 01:52:00,62,Low
2024-06-29 01:59:00,61,Peak
2024-06-29 01:59:00,60,Low
2024-06-29 02:15:00,57,Low
2024-06-29 02:15:00,58,Peak
2024-06-29 02:53:00,48,Low
2024-06-29 02:53:00,49,Peak
2024-06-29 03:17:00,41,Low
2024-06-29 03:17:00,42,Peak
2024-06-29 03:50:00,40,Low
2024-06-29 05:25:00,82,Peak
2024-06-29 05:25:00,81,Low
2024-06-29 05:30:00,81,Peak
2024-06-29 05:30:00,80,Low
2024-06-29 06:10:00,68,Peak
2024-06-29 06:10:00,67,Low
2024-06-29 06:46:00,56,Low
2024-06-29 06:47:00,57,Peak
2024-06-29 07:46:00,44,Low
2024-06-29 07:46:00,45,Peak
2024-06-29 08:19:00,41,Low
2024-06-29 08:21:00,42,Peak
2024-06-29 08:24:00,41,Low
2024-06-29 08:28:00,42,Peak
2024-06-29 08:28:00,41,Low
2024-06-29 09:03:00,38,Low
2024-06-29 09:03:00,39,Peak
2024-06-29 09:06:00,39,Peak
2024-06-29 09:15:00,38,Low
2024-06-29 09:41:00,39,Peak
2024-06-29 09:41:00,38,Low
2024-06-29 09:44:00,42,Peak
2024-06-29 09:44:00,41,Low
2024-06-29 09:47:00,45,Peak
2024-06-29 09:47:00,44,Low
2024-06-29 09:50:00,47,Low
2024-06-29 09:52:00,50,Peak
2024-06-29 09:55:00,53,Peak
2024-06-29 09:55:00,52,Low
2024-06-29 09:58:00,56,Peak
2024-06-29 09:58:00,55,Low
2024-06-29 10:01:00,58,Low
2024-06-29 10:03:00,61,Peak
2024-06-29 10:06:00,64,Peak
2024-06-29 10:06:00,63,Low
2024-06-29 10:09:00,67,Peak
2024-06-29 10:09:00,66,Low
2024-06-29 10:12:00,69,Low
2024-06-29 10:14:00,72,Peak
2024-06-29 10:16:00,73,Low
2024-06-29 10:17:00,75,Peak
2024-06-29 10:21:00,78,Low
2024-06-29 10:21:00,79,Peak
2024-06-29 10:28:00,81,Low
2024-06-29 10:30:00,83,Peak
2024-06-29 10:52:00,100,Peak
2024-06-29 13:01:00,95,Low
2024-06-29 13:01:00,96,Peak
2024-06-29 13:41:00,91,Low
2024-06-29 13:42:00,92,Peak
2024-06-29 14:39:00,88,Peak
2024-06-29 14:39:00,87,Low
2024-06-29 14:43:00,87,Peak
2024-06-29 14:43:00,86,Low
2024-06-29 15:34:00,83,Low
2024-06-29 15:34:00,84,Peak
2024-06-29 15:48:00,81,Peak
2024-06-29 15:48:00,80,Low
2024-06-29 15:53:00,79,Low
2024-06-29 15:53:00,80,Peak
2024-06-29 16:10:00,76,Low
2024-06-29 16:10:00,77,Peak
2024-06-29 16:38:00,72,Low
2024-06-29 16:38:00,73,Peak
2024-06-29 16:46:00,71,Peak
2024-06-29 16:46:00,70,Low
2024-06-29 17:01:00,67,Low
2024-06-29 17:01:00,68,Peak
2024-06-29 17:07:00,67,Peak
2024-06-29 17:07:00,66,Low
2024-06-29 17:15:00,65,Peak
2024-06-29 17:16:00,64,Low
2024-06-29 17:26:00,62,Low
2024-06-29 17:26:00,63,Peak
2024-06-29 17:32:00,61,Low
2024-06-29 17:32:00,62,Peak
2024-06-29 17:40:00,58,Low
2024-06-29 17:40:00,59,Peak
2024-06-29 18:07:00,50,Low
2024-06-29 18:07:00,51,Peak
2024-06-29 18:13:00,49,Low
2024-06-29 18:13:00,50,Peak
2024-06-29 18:33:00,45,Low
2024-06-29 18:33:00,46,Peak
2024-06-29 19:05:00,38,Low
2024-06-29 20:01:00,78,Peak
2024-06-29 20:03:00,77,Low
2024-06-29 20:06:00,77,Peak
2024-06-29 20:06:00,76,Low
2024-06-29 20:10:00,75,Low
2024-06-29 20:10:00,76,Peak
2024-06-29 20:16:00,74,Peak
2024-06-29 20:16:00,73,Low
2024-06-29 20:19:00,73,Peak
2024-06-29 20:19:00,72,Low
2024-06-29 20:23:00,72,Peak
2024-06-29 20:23:00,71,Low
2024-06-29 20:39:00,67,Low
2024-06-29 20:39:00,68,Peak
2024-06-29 20:54:00,63,Low
2024-06-29 20:54:00,64,Peak
2024-06-29 21:16:00,59,Peak
2024-06-29 21:16:00,58,Low
2024-06-29 21:33:00,54,Low
2024-06-29 21:33:00,55,Peak
2024-06-29 21:49:00,50,Low
2024-06-29 21:49:00,51,Peak
